Age,Gender,Period,Unemployed,State
35 to 44 years,Women,2007-04-01,94000,Aagra
45 to 54 years,Women,2007-04-01,122000,Aagra
55 to 64 years,Women,2007-04-01,53000,Pune
65 years and over,Women,2007-04-01,64000,Pune
16 to 19 years,Men,2007-05-01,73000,Pune
20 to 24 years,Men,2007-05-01,88000,Pune
25 to 34 years,Men,2007-05-01,172000,Pune
35 to 44 years,Men,2007-05-01,87000,Pune
45 to 54 years,Men,2007-05-01,133000,Chennai
55 to 64 years,Men,2007-05-01,82000,Chennai
65 years and over,Men,2007-05-01,19000,Chennai
16 to 19 years,Women,2007-05-01,37000,Chennai
20 to 24 years,Women,2007-05-01,44000,Chennai
25 to 34 years,Women,2007-05-01,119000,Chennai
35 to 44 years,Women,2007-05-01,97000,Chennai
45 to 54 years,Women,2007-05-01,107000,Chennai
55 to 64 years,Women,2007-05-01,60000,Chennai
65 years and over,Women,2007-05-01,71000,Chennai
16 to 19 years,Men,2007-06-01,54000,Chennai
20 to 24 years,Men,2007-06-01,113000,Chennai
25 to 34 years,Men,2007-06-01,140000,Chennai
35 to 44 years,Men,2007-06-01,106000,Chennai
45 to 54 years,Men,2007-06-01,141000,Chennai
55 to 64 years,Men,2007-06-01,81000,Chennai
65 years and over,Men,2007-06-01,17000,Chennai
16 to 19 years,Women,2007-06-01,54000,Punjab
20 to 24 years,Women,2007-06-01,44000,Chennai
25 to 34 years,Women,2007-06-01,94000,Chennai
35 to 44 years,Women,2007-06-01,98000,Chennai
45 to 54 years,Women,2007-06-01,100000,Chennai
55 to 64 years,Women,2007-06-01,52000,Chennai
65 years and over,Women,2007-06-01,109000,Chennai
16 to 19 years,Men,2007-07-01,44000,Punjab
20 to 24 years,Men,2007-07-01,129000,Chennai
25 to 34 years,Men,2007-07-01,112000,Chennai
35 to 44 years,Men,2007-07-01,136000,Chennai
45 to 54 years,Men,2007-07-01,148000,Chennai
55 to 64 years,Men,2007-07-01,93000,Lahor
65 years and over,Men,2007-07-01,36000,Chennai
16 to 19 years,Women,2007-07-01,41000,Chennai
20 to 24 years,Women,2007-07-01,75000,Chennai
25 to 34 years,Women,2007-07-01,128000,Lahor
35 to 44 years,Women,2007-07-01,150000,Chennai
45 to 54 years,Women,2007-07-01,118000,Chennai
55 to 64 years,Women,2007-07-01,63000,UP
65 years and over,Women,2007-07-01,111000,Chennai
16 to 19 years,Men,2007-08-01,43000,Chennai
20 to 24 years,Men,2007-08-01,150000,MP
25 to 34 years,Men,2007-08-01,119000,Chennai
35 to 44 years,Men,2007-08-01,121000,Chennai
45 to 54 years,Men,2007-08-01,147000,Rajsthan
55 to 64 years,Men,2007-08-01,110000,Chennai
65 years and over,Men,2007-08-01,17000,Chennai
16 to 19 years,Women,2007-08-01,47000,Chennai
20 to 24 years,Women,2007-08-01,66000,Chennai
25 to 34 years,Women,2007-08-01,125000,Chennai
35 to 44 years,Women,2007-08-01,112000,Chennai
45 to 54 years,Women,2007-08-01,125000,Chennai
55 to 64 years,Women,2007-08-01,50000,Gujrat
65 years and over,Women,2007-08-01,84000,Gujrat
16 to 19 years,Men,2007-09-01,68000,Chennai
20 to 24 years,Men,2007-09-01,131000,Chennai
25 to 34 years,Men,2007-09-01,140000,Chennai
35 to 44 years,Men,2007-09-01,139000,Chennai
45 to 54 years,Men,2007-09-01,129000,Chennai
55 to 64 years,Men,2007-09-01,105000,Maharashtra
65 years and over,Men,2007-09-01,19000,Chennai
16 to 19 years,Women,2007-09-01,36000,Chennai
20 to 24 years,Women,2007-09-01,73000,Chennai
25 to 34 years,Women,2007-09-01,115000,Chennai
35 to 44 years,Women,2007-09-01,126000,Chennai
45 to 54 years,Women,2007-09-01,127000,Chennai
55 to 64 years,Women,2007-09-01,53000,Chennai
65 years and over,Women,2007-09-01,92000,Chennai
16 to 19 years,Men,2007-10-01,60000,Chennai
20 to 24 years,Men,2007-10-01,117000,Chennai
25 to 34 years,Men,2007-10-01,100000,Chennai
35 to 44 years,Men,2007-10-01,119000,Delhi
45 to 54 years,Men,2007-10-01,144000,Chennai
55 to 64 years,Men,2007-10-01,95000,Chennai
65 years and over,Men,2007-10-01,29000,Chennai
16 to 19 years,Women,2007-10-01,27000,Chennai
20 to 24 years,Women,2007-10-01,83000,Chennai
25 to 34 years,Women,2007-10-01,104000,Chennai
35 to 44 years,Women,2007-10-01,156000,Chennai
45 to 54 years,Women,2007-10-01,146000,Keral
55 to 64 years,Women,2007-10-01,85000,Keral
65 years and over,Women,2007-10-01,76000,Keral
16 to 19 years,Men,2007-11-01,65000,Keral
20 to 24 years,Men,2007-11-01,88000,Keral
25 to 34 years,Men,2007-11-01,149000,Keral
35 to 44 years,Men,2007-11-01,142000,Keral
45 to 54 years,Men,2007-11-01,128000,Keral
55 to 64 years,Men,2007-11-01,88000,Chennai
65 years and over,Men,2007-11-01,33000,Chennai
16 to 19 years,Women,2007-11-01,46000,Chennai
20 to 24 years,Women,2007-11-01,100000,Chennai
25 to 34 years,Women,2007-11-01,129000,Chennai
35 to 44 years,Women,2007-11-01,140000,Chennai
45 to 54 years,Women,2007-11-01,146000,Chennai
55 to 64 years,Women,2007-11-01,86000,Chennai
65 years and over,Women,2007-11-01,89000,Chennai
16 to 19 years,Men,2007-12-01,69000,Chennai
20 to 24 years,Men,2007-12-01,106000,MP
25 to 34 years,Men,2007-12-01,147000,MP
35 to 44 years,Men,2007-12-01,132000,MP
45 to 54 years,Men,2007-12-01,149000,MP
55 to 64 years,Men,2007-12-01,83000,MP
65 years and over,Men,2007-12-01,36000,MP
16 to 19 years,Women,2007-12-01,36000,MP
20 to 24 years,Women,2007-12-01,80000,MP
25 to 34 years,Women,2007-12-01,108000,MP
35 to 44 years,Women,2007-12-01,133000,MP
45 to 54 years,Women,2007-12-01,124000,MP
55 to 64 years,Women,2007-12-01,63000,MP
65 years and over,Women,2007-12-01,77000,MP
16 to 19 years,Men,2008-01-01,90000,MP
20 to 24 years,Men,2008-01-01,138000,MP
25 to 34 years,Men,2008-01-01,169000,MP
35 to 44 years,Men,2008-01-01,155000,MP
45 to 54 years,Men,2008-01-01,145000,MP
55 to 64 years,Men,2008-01-01,75000,MP
65 years and over,Men,2008-01-01,39000,MP
16 to 19 years,Women,2008-01-01,47000,MP
20 to 24 years,Women,2008-01-01,76000,MP
25 to 34 years,Women,2008-01-01,93000,MP
35 to 44 years,Women,2008-01-01,126000,MP
45 to 54 years,Women,2008-01-01,153000,MP
55 to 64 years,Women,2008-01-01,88000,MP
65 years and over,Women,2008-01-01,99000,MP
16 to 19 years,Men,2008-02-01,105000,MP
20 to 24 years,Men,2008-02-01,146000,MP
25 to 34 years,Men,2008-02-01,121000,Chennai
35 to 44 years,Men,2008-02-01,151000,Chennai
45 to 54 years,Men,2008-02-01,164000,Chennai
55 to 64 years,Men,2008-02-01,95000,Chennai
65 years and over,Men,2008-02-01,31000,Chennai
16 to 19 years,Women,2008-02-01,37000,Chennai
20 to 24 years,Women,2008-02-01,56000,Chennai
25 to 34 years,Women,2008-02-01,107000,Chennai
35 to 44 years,Women,2008-02-01,97000,Chennai
45 to 54 years,Women,2008-02-01,130000,Chennai
55 to 64 years,Women,2008-02-01,103000,Chennai
65 years and over,Women,2008-02-01,106000,Chennai
16 to 19 years,Men,2008-03-01,71000,Chennai
20 to 24 years,Men,2008-03-01,142000,Chennai
25 to 34 years,Men,2008-03-01,145000,Chennai
35 to 44 years,Men,2008-03-01,154000,Chennai
45 to 54 years,Men,2008-03-01,201000,Chennai
55 to 64 years,Men,2008-03-01,78000,Chennai
65 years and over,Men,2008-03-01,34000,Chennai
16 to 19 years,Women,2008-03-01,51000,Chennai
20 to 24 years,Women,2008-03-01,52000,Chennai
25 to 34 years,Women,2008-03-01,124000,Chennai
35 to 44 years,Women,2008-03-01,101000,Chennai
45 to 54 years,Women,2008-03-01,113000,Chennai
55 to 64 years,Women,2008-03-01,75000,Chennai
65 years and over,Women,2008-03-01,101000,Chennai
16 to 19 years,Men,2008-04-01,95000,Chennai
20 to 24 years,Men,2008-04-01,154000,Chennai
25 to 34 years,Men,2008-04-01,165000,Chennai
35 to 44 years,Men,2008-04-01,175000,Chennai
45 to 54 years,Men,2008-04-01,203000,Chennai
55 to 64 years,Men,2008-04-01,67000,Chennai
65 years and over,Men,2008-04-01,33000,Chennai
16 to 19 years,Women,2008-04-01,50000,Chennai
20 to 24 years,Women,2008-04-01,44000,Chennai
25 to 34 years,Women,2008-04-01,137000,Chennai
35 to 44 years,Women,2008-04-01,85000,Chennai
45 to 54 years,Women,2008-04-01,154000,Chennai
55 to 64 years,Women,2008-04-01,72000,Chennai
65 years and over,Women,2008-04-01,98000,Chennai
