Age,Gender,Period,Unemployed,State
16 to 19 years,Men,2011-08-01,163000,Punjab
20 to 24 years,Men,2011-08-01,418000,Punjab
25 to 34 years,Men,2011-08-01,682000,Punjab
35 to 44 years,Men,2011-08-01,665000,Punjab
45 to 54 years,Men,2011-08-01,670000,Punjab
55 to 64 years,Men,2011-08-01,468000,Punjab
65 years and over,Men,2011-08-01,153000,Punjab
16 to 19 years,Women,2011-08-01,195000,Punjab
20 to 24 years,Women,2011-08-01,281000,Punjab
25 to 34 years,Women,2011-08-01,645000,Punjab
35 to 44 years,Women,2011-08-01,541000,Punjab
45 to 54 years,Women,2011-08-01,624000,Punjab
55 to 64 years,Women,2011-08-01,422000,Punjab
65 years and over,Women,2011-08-01,227000,Punjab
16 to 19 years,Men,2011-09-01,134000,Punjab
20 to 24 years,Men,2011-09-01,443000,Punjab
25 to 34 years,Men,2011-09-01,727000,Punjab
35 to 44 years,Men,2011-09-01,649000,Punjab
45 to 54 years,Men,2011-09-01,717000,Punjab
55 to 64 years,Men,2011-09-01,495000,Punjab
65 years and over,Men,2011-09-01,168000,Punjab
16 to 19 years,Women,2011-09-01,157000,Punjab
20 to 24 years,Women,2011-09-01,322000,Punjab
25 to 34 years,Women,2011-09-01,713000,Punjab
35 to 44 years,Women,2011-09-01,503000,Punjab
45 to 54 years,Women,2011-09-01,626000,Punjab
55 to 64 years,Women,2011-09-01,445000,Punjab
65 years and over,Women,2011-09-01,224000,Punjab
16 to 19 years,Men,2011-10-01,146000,Punjab
20 to 24 years,Men,2011-10-01,392000,Punjab
25 to 34 years,Men,2011-10-01,682000,Punjab
35 to 44 years,Men,2011-10-01,597000,Punjab
45 to 54 years,Men,2011-10-01,668000,Punjab
55 to 64 years,Men,2011-10-01,492000,Punjab
65 years and over,Men,2011-10-01,157000,Punjab
16 to 19 years,Women,2011-10-01,113000,Punjab
20 to 24 years,Women,2011-10-01,329000,Punjab
25 to 34 years,Women,2011-10-01,670000,Punjab
35 to 44 years,Women,2011-10-01,436000,Punjab
45 to 54 years,Women,2011-10-01,550000,Punjab
55 to 64 years,Women,2011-10-01,416000,Punjab
65 years and over,Women,2011-10-01,263000,Punjab
16 to 19 years,Men,2011-11-01,189000,Punjab
20 to 24 years,Men,2011-11-01,462000,Punjab
25 to 34 years,Men,2011-11-01,649000,Punjab
35 to 44 years,Men,2011-11-01,560000,Punjab
45 to 54 years,Men,2011-11-01,631000,Mumbai
55 to 64 years,Men,2011-11-01,471000,Punjab
65 years and over,Men,2011-11-01,172000,Punjab
16 to 19 years,Women,2011-11-01,111000,Punjab
20 to 24 years,Women,2011-11-01,307000,Punjab
25 to 34 years,Women,2011-11-01,596000,Maharashtra
35 to 44 years,Women,2011-11-01,460000,Maharashtra
45 to 54 years,Women,2011-11-01,521000,Maharashtra
55 to 64 years,Women,2011-11-01,387000,Maharashtra
65 years and over,Women,2011-11-01,230000,Maharashtra
16 to 19 years,Men,2011-12-01,150000,Maharashtra
20 to 24 years,Men,2011-12-01,474000,Maharashtra
25 to 34 years,Men,2011-12-01,699000,Maharashtra
35 to 44 years,Men,2011-12-01,581000,Maharashtra
45 to 54 years,Men,2011-12-01,575000,Maharashtra
55 to 64 years,Men,2011-12-01,404000,Maharashtra
65 years and over,Men,2011-12-01,150000,Maharashtra
16 to 19 years,Women,2011-12-01,96000,Maharashtra
20 to 24 years,Women,2011-12-01,250000,Maharashtra
25 to 34 years,Women,2011-12-01,580000,Maharashtra
35 to 44 years,Women,2011-12-01,467000,Maharashtra
45 to 54 years,Women,2011-12-01,531000,Maharashtra
55 to 64 years,Women,2011-12-01,349000,Maharashtra
65 years and over,Women,2011-12-01,208000,Maharashtra
16 to 19 years,Men,2012-01-01,200000,Maharashtra
20 to 24 years,Men,2012-01-01,480000,Maharashtra
25 to 34 years,Men,2012-01-01,690000,Maharashtra
35 to 44 years,Men,2012-01-01,551000,Maharashtra
45 to 54 years,Men,2012-01-01,563000,Maharashtra
55 to 64 years,Men,2012-01-01,480000,Maharashtra
65 years and over,Men,2012-01-01,130000,Maharashtra
16 to 19 years,Women,2012-01-01,139000,Maharashtra
20 to 24 years,Women,2012-01-01,239000,Maharashtra
25 to 34 years,Women,2012-01-01,559000,Maharashtra
35 to 44 years,Women,2012-01-01,551000,Maharashtra
45 to 54 years,Women,2012-01-01,536000,Maharashtra
55 to 64 years,Women,2012-01-01,377000,Maharashtra
65 years and over,Women,2012-01-01,201000,Maharashtra
16 to 19 years,Men,2012-02-01,184000,Maharashtra
20 to 24 years,Men,2012-02-01,489000,Maharashtra
25 to 34 years,Men,2012-02-01,626000,Maharashtra
35 to 44 years,Men,2012-02-01,478000,Maharashtra
45 to 54 years,Men,2012-02-01,599000,Maharashtra
55 to 64 years,Men,2012-02-01,428000,Maharashtra
65 years and over,Men,2012-02-01,118000,Maharashtra
16 to 19 years,Women,2012-02-01,136000,Maharashtra
20 to 24 years,Women,2012-02-01,264000,Maharashtra
25 to 34 years,Women,2012-02-01,522000,Maharashtra
35 to 44 years,Women,2012-02-01,502000,Maharashtra
45 to 54 years,Women,2012-02-01,573000,Maharashtra
55 to 64 years,Women,2012-02-01,362000,Maharashtra
65 years and over,Women,2012-02-01,230000,Maharashtra
16 to 19 years,Men,2012-03-01,186000,Maharashtra
20 to 24 years,Men,2012-03-01,439000,Maharashtra
25 to 34 years,Men,2012-03-01,716000,Maharashtra
35 to 44 years,Men,2012-03-01,512000,Maharashtra
45 to 54 years,Men,2012-03-01,579000,Maharashtra
55 to 64 years,Men,2012-03-01,495000,Maharashtra
65 years and over,Men,2012-03-01,118000,Maharashtra
16 to 19 years,Women,2012-03-01,151000,Maharashtra
20 to 24 years,Women,2012-03-01,255000,Maharashtra
25 to 34 years,Women,2012-03-01,481000,Maharashtra
35 to 44 years,Women,2012-03-01,414000,Maharashtra
45 to 54 years,Women,2012-03-01,547000,Maharashtra
55 to 64 years,Women,2012-03-01,389000,Maharashtra
65 years and over,Women,2012-03-01,191000,Maharashtra
16 to 19 years,Men,2012-04-01,180000,Maharashtra
20 to 24 years,Men,2012-04-01,439000,Maharashtra
25 to 34 years,Men,2012-04-01,645000,Maharashtra
35 to 44 years,Men,2012-04-01,548000,Maharashtra
45 to 54 years,Men,2012-04-01,543000,Maharashtra
55 to 64 years,Men,2012-04-01,456000,Maharashtra
65 years and over,Men,2012-04-01,133000,Maharashtra
16 to 19 years,Women,2012-04-01,146000,Maharashtra
20 to 24 years,Women,2012-04-01,215000,Maharashtra
25 to 34 years,Women,2012-04-01,523000,Maharashtra
35 to 44 years,Women,2012-04-01,391000,Maharashtra
45 to 54 years,Women,2012-04-01,554000,Maharashtra
55 to 64 years,Women,2012-04-01,370000,Maharashtra
65 years and over,Women,2012-04-01,212000,Maharashtra
16 to 19 years,Men,2012-05-01,168000,Maharashtra
20 to 24 years,Men,2012-05-01,475000,Maharashtra
25 to 34 years,Men,2012-05-01,606000,Maharashtra
35 to 44 years,Men,2012-05-01,532000,Maharashtra
45 to 54 years,Men,2012-05-01,590000,Maharashtra
55 to 64 years,Men,2012-05-01,467000,Maharashtra
65 years and over,Men,2012-05-01,171000,Maharashtra
16 to 19 years,Women,2012-05-01,127000,Maharashtra
20 to 24 years,Women,2012-05-01,246000,Maharashtra
25 to 34 years,Women,2012-05-01,548000,Maharashtra
35 to 44 years,Women,2012-05-01,516000,Maharashtra
45 to 54 years,Women,2012-05-01,507000,Maharashtra
55 to 64 years,Women,2012-05-01,336000,Hariyana
65 years and over,Women,2012-05-01,228000,Maharashtra
16 to 19 years,Men,2012-06-01,159000,Maharashtra
20 to 24 years,Men,2012-06-01,446000,Maharashtra
25 to 34 years,Men,2012-06-01,581000,Maharashtra
35 to 44 years,Men,2012-06-01,531000,Maharashtra
45 to 54 years,Men,2012-06-01,586000,Maharashtra
55 to 64 years,Men,2012-06-01,410000,Maharashtra
65 years and over,Men,2012-06-01,184000,Maharashtra
16 to 19 years,Women,2012-06-01,118000,Maharashtra
20 to 24 years,Women,2012-06-01,239000,Maharashtra
25 to 34 years,Women,2012-06-01,553000,Maharashtra
35 to 44 years,Women,2012-06-01,490000,Maharashtra
45 to 54 years,Women,2012-06-01,489000,Maharashtra
55 to 64 years,Women,2012-06-01,308000,Maharashtra
65 years and over,Women,2012-06-01,235000,Hariyana
16 to 19 years,Men,2012-07-01,149000,Hariyana
20 to 24 years,Men,2012-07-01,435000,Hariyana
25 to 34 years,Men,2012-07-01,536000,Hariyana
35 to 44 years,Men,2012-07-01,534000,Hariyana
45 to 54 years,Men,2012-07-01,574000,Hariyana
55 to 64 years,Men,2012-07-01,389000,Hariyana
65 years and over,Men,2012-07-01,168000,Hariyana
16 to 19 years,Women,2012-07-01,121000,Hariyana
20 to 24 years,Women,2012-07-01,280000,Hariyana
25 to 34 years,Women,2012-07-01,526000,Hariyana
35 to 44 years,Women,2012-07-01,490000,Hariyana
45 to 54 years,Women,2012-07-01,559000,Hariyana
55 to 64 years,Women,2012-07-01,359000,Hariyana
65 years and over,Women,2012-07-01,244000,Hariyana
16 to 19 years,Men,2012-08-01,121000,Hariyana
20 to 24 years,Men,2012-08-01,460000,Hariyana
25 to 34 years,Men,2012-08-01,504000,Hariyana
35 to 44 years,Men,2012-08-01,471000,Hariyana
45 to 54 years,Men,2012-08-01,583000,Hariyana
55 to 64 years,Men,2012-08-01,386000,Hariyana
65 years and over,Men,2012-08-01,152000,Hariyana
16 to 19 years,Women,2012-08-01,114000,Hariyana
20 to 24 years,Women,2012-08-01,296000,Hariyana
25 to 34 years,Women,2012-08-01,481000,Hariyana
35 to 44 years,Women,2012-08-01,474000,Hariyana
45 to 54 years,Women,2012-08-01,545000,Hariyana
55 to 64 years,Women,2012-08-01,330000,Hariyana
65 years and over,Women,2012-08-01,243000,Hariyana
16 to 19 years,Men,2012-09-01,147000,Hariyana
20 to 24 years,Men,2012-09-01,368000,Hariyana
25 to 34 years,Men,2012-09-01,560000,Hariyana
35 to 44 years,Men,2012-09-01,458000,Hariyana
45 to 54 years,Men,2012-09-01,508000,Hariyana
55 to 64 years,Men,2012-09-01,412000,Hariyana
65 years and over,Men,2012-09-01,162000,Hariyana
16 to 19 years,Women,2012-09-01,82000,Hariyana
20 to 24 years,Women,2012-09-01,242000,Hariyana
25 to 34 years,Women,2012-09-01,516000,Hariyana
35 to 44 years,Women,2012-09-01,419000,Hariyana
45 to 54 years,Women,2012-09-01,522000,Hariyana
55 to 64 years,Women,2012-09-01,341000,Hariyana
65 years and over,Women,2012-09-01,196000,Hariyana
16 to 19 years,Men,2012-10-01,160000,Hariyana
20 to 24 years,Men,2012-10-01,348000,Hariyana
25 to 34 years,Men,2012-10-01,617000,Hariyana
35 to 44 years,Men,2012-10-01,493000,Hariyana
45 to 54 years,Men,2012-10-01,562000,Hariyana
55 to 64 years,Men,2012-10-01,392000,Hariyana
65 years and over,Men,2012-10-01,120000,Hariyana
16 to 19 years,Women,2012-10-01,105000,Hariyana
20 to 24 years,Women,2012-10-01,252000,Hariyana
25 to 34 years,Women,2012-10-01,521000,Hariyana
35 to 44 years,Women,2012-10-01,417000,Hariyana
45 to 54 years,Women,2012-10-01,469000,Hariyana
55 to 64 years,Women,2012-10-01,343000,Hariyana
65 years and over,Women,2012-10-01,206000,Hariyana
16 to 19 years,Men,2012-11-01,192000,Hariyana
20 to 24 years,Men,2012-11-01,323000,Hariyana
25 to 34 years,Men,2012-11-01,538000,Hariyana
35 to 44 years,Men,2012-11-01,490000,Hariyana
45 to 54 years,Men,2012-11-01,509000,Hariyana
55 to 64 years,Men,2012-11-01,459000,Hariyana
65 years and over,Men,2012-11-01,115000,Hariyana
16 to 19 years,Women,2012-11-01,96000,Hariyana
20 to 24 years,Women,2012-11-01,269000,Hariyana
25 to 34 years,Women,2012-11-01,482000,Hariyana
35 to 44 years,Women,2012-11-01,369000,Hariyana
45 to 54 years,Women,2012-11-01,450000,Hariyana
55 to 64 years,Women,2012-11-01,312000,Hariyana
65 years and over,Women,2012-11-01,195000,Hariyana
16 to 19 years,Men,2012-12-01,155000,Hariyana
20 to 24 years,Men,2012-12-01,368000,Hariyana
25 to 34 years,Men,2012-12-01,526000,Hariyana
35 to 44 years,Men,2012-12-01,476000,Hariyana
45 to 54 years,Men,2012-12-01,475000,Hariyana
55 to 64 years,Men,2012-12-01,404000,Hariyana
65 years and over,Men,2012-12-01,97000,Hariyana
16 to 19 years,Women,2012-12-01,69000,Hariyana
20 to 24 years,Women,2012-12-01,262000,Hariyana
25 to 34 years,Women,2012-12-01,444000,UP
35 to 44 years,Women,2012-12-01,451000,Hariyana
45 to 54 years,Women,2012-12-01,470000,Hariyana
55 to 64 years,Women,2012-12-01,328000,Hariyana
65 years and over,Women,2012-12-01,191000,Hariyana
16 to 19 years,Men,2013-01-01,166000,Hariyana
20 to 24 years,Men,2013-01-01,436000,Hariyana
25 to 34 years,Men,2013-01-01,528000,Hariyana
35 to 44 years,Men,2013-01-01,479000,Hariyana
45 to 54 years,Men,2013-01-01,477000,Hariyana
55 to 64 years,Men,2013-01-01,395000,Hariyana
65 years and over,Men,2013-01-01,125000,Hariyana
16 to 19 years,Women,2013-01-01,107000,Hariyana
20 to 24 years,Women,2013-01-01,264000,Hariyana
25 to 34 years,Women,2013-01-01,436000,Hariyana
35 to 44 years,Women,2013-01-01,464000,Hariyana
45 to 54 years,Women,2013-01-01,470000,Hariyana
55 to 64 years,Women,2013-01-01,339000,Hariyana
65 years and over,Women,2013-01-01,219000,Hariyana
16 to 19 years,Men,2013-02-01,202000,Hariyana
20 to 24 years,Men,2013-02-01,405000,Hariyana
25 to 34 years,Men,2013-02-01,561000,Hariyana
35 to 44 years,Men,2013-02-01,471000,Hariyana
45 to 54 years,Men,2013-02-01,486000,Hariyana
55 to 64 years,Men,2013-02-01,410000,Hariyana
65 years and over,Men,2013-02-01,131000,Hariyana
16 to 19 years,Women,2013-02-01,95000,Hariyana
20 to 24 years,Women,2013-02-01,256000,Hariyana
25 to 34 years,Women,2013-02-01,431000,Hariyana
35 to 44 years,Women,2013-02-01,462000,Hariyana
45 to 54 years,Women,2013-02-01,479000,Hariyana
55 to 64 years,Women,2013-02-01,309000,Hariyana
65 years and over,Women,2013-02-01,198000,Hariyana
16 to 19 years,Men,2013-03-01,151000,Hariyana
20 to 24 years,Men,2013-03-01,381000,Hariyana
25 to 34 years,Men,2013-03-01,511000,Hariyana
35 to 44 years,Men,2013-03-01,500000,MP
45 to 54 years,Men,2013-03-01,493000,Hariyana
55 to 64 years,Men,2013-03-01,421000,Hariyana
65 years and over,Men,2013-03-01,128000,MP
16 to 19 years,Women,2013-03-01,103000,Hariyana
20 to 24 years,Women,2013-03-01,278000,Hariyana
25 to 34 years,Women,2013-03-01,414000,Hariyana
35 to 44 years,Women,2013-03-01,398000,Hariyana
45 to 54 years,Women,2013-03-01,461000,Hariyana
55 to 64 years,Women,2013-03-01,310000,Hariyana
65 years and over,Women,2013-03-01,187000,Hariyana
16 to 19 years,Men,2013-04-01,160000,Hariyana
20 to 24 years,Men,2013-04-01,363000,Hariyana
25 to 34 years,Men,2013-04-01,544000,Hariyana
35 to 44 years,Men,2013-04-01,421000,Hariyana
45 to 54 years,Men,2013-04-01,504000,Hariyana
55 to 64 years,Men,2013-04-01,378000,Hariyana
65 years and over,Men,2013-04-01,149000,Hariyana
16 to 19 years,Women,2013-04-01,124000,Hariyana
20 to 24 years,Women,2013-04-01,262000,Hariyana
25 to 34 years,Women,2013-04-01,413000,Hariyana
35 to 44 years,Women,2013-04-01,341000,Hariyana
45 to 54 years,Women,2013-04-01,444000,Hariyana
55 to 64 years,Women,2013-04-01,299000,Hariyana
65 years and over,Women,2013-04-01,180000,Hariyana
16 to 19 years,Men,2013-05-01,161000,Hariyana
20 to 24 years,Men,2013-05-01,380000,Hariyana
25 to 34 years,Men,2013-05-01,478000,Hariyana
35 to 44 years,Men,2013-05-01,426000,Hariyana
45 to 54 years,Men,2013-05-01,527000,Hariyana
55 to 64 years,Men,2013-05-01,376000,Hariyana
65 years and over,Men,2013-05-01,135000,Hariyana
16 to 19 years,Women,2013-05-01,94000,Hariyana
20 to 24 years,Women,2013-05-01,238000,Hariyana
25 to 34 years,Women,2013-05-01,386000,Hariyana
35 to 44 years,Women,2013-05-01,381000,MP
45 to 54 years,Women,2013-05-01,426000,Hariyana
55 to 64 years,Women,2013-05-01,297000,Hariyana
65 years and over,Women,2013-05-01,143000,Hariyana
16 to 19 years,Men,2013-06-01,146000,Hariyana
20 to 24 years,Men,2013-06-01,418000,Hariyana
25 to 34 years,Men,2013-06-01,488000,Hariyana
35 to 44 years,Men,2013-06-01,366000,Hariyana
45 to 54 years,Men,2013-06-01,449000,Hariyana
55 to 64 years,Men,2013-06-01,325000,Hariyana
65 years and over,Men,2013-06-01,116000,Hariyana
16 to 19 years,Women,2013-06-01,106000,Hariyana
20 to 24 years,Women,2013-06-01,253000,Hariyana
25 to 34 years,Women,2013-06-01,427000,Hariyana
35 to 44 years,Women,2013-06-01,372000,Hariyana
45 to 54 years,Women,2013-06-01,398000,Hariyana
55 to 64 years,Women,2013-06-01,270000,Hariyana
65 years and over,Women,2013-06-01,226000,Hariyana
16 to 19 years,Men,2013-07-01,131000,Hariyana
20 to 24 years,Men,2013-07-01,377000,Hariyana
25 to 34 years,Men,2013-07-01,492000,Hariyana
35 to 44 years,Men,2013-07-01,421000,Hariyana
45 to 54 years,Men,2013-07-01,451000,Hariyana
55 to 64 years,Men,2013-07-01,353000,Hariyana
65 years and over,Men,2013-07-01,106000,Hariyana
16 to 19 years,Women,2013-07-01,79000,Hariyana
20 to 24 years,Women,2013-07-01,239000,Hariyana
25 to 34 years,Women,2013-07-01,507000,Hariyana
35 to 44 years,Women,2013-07-01,400000,UP
45 to 54 years,Women,2013-07-01,405000,Hariyana
55 to 64 years,Women,2013-07-01,268000,Hariyana
65 years and over,Women,2013-07-01,170000,Hariyana
16 to 19 years,Men,2013-08-01,123000,Hariyana
20 to 24 years,Men,2013-08-01,393000,Hariyana
25 to 34 years,Men,2013-08-01,594000,Hariyana
35 to 44 years,Men,2013-08-01,462000,Hariyana
45 to 54 years,Men,2013-08-01,417000,Hariyana
55 to 64 years,Men,2013-08-01,364000,Hariyana
65 years and over,Men,2013-08-01,78000,Hariyana
16 to 19 years,Women,2013-08-01,77000,Hariyana
20 to 24 years,Women,2013-08-01,239000,Hariyana
25 to 34 years,Women,2013-08-01,458000,Hariyana
35 to 44 years,Women,2013-08-01,348000,Hariyana
45 to 54 years,Women,2013-08-01,372000,Hariyana
55 to 64 years,Women,2013-08-01,290000,Hariyana
65 years and over,Women,2013-08-01,167000,Hariyana
16 to 19 years,Men,2013-09-01,141000,Hariyana
20 to 24 years,Men,2013-09-01,403000,Hariyana
25 to 34 years,Men,2013-09-01,479000,Hariyana
35 to 44 years,Men,2013-09-01,454000,Hariyana
45 to 54 years,Men,2013-09-01,404000,Hariyana
55 to 64 years,Men,2013-09-01,385000,Hariyana
65 years and over,Men,2013-09-01,91000,Hariyana
16 to 19 years,Women,2013-09-01,37000,Hariyana
20 to 24 years,Women,2013-09-01,211000,Hariyana
25 to 34 years,Women,2013-09-01,421000,Hariyana
35 to 44 years,Women,2013-09-01,307000,MP
45 to 54 years,Women,2013-09-01,363000,Hariyana
55 to 64 years,Women,2013-09-01,302000,Hariyana
65 years and over,Women,2013-09-01,195000,Hariyana
16 to 19 years,Men,2013-10-01,132000,Hariyana
20 to 24 years,Men,2013-10-01,319000,Hariyana
25 to 34 years,Men,2013-10-01,437000,Hariyana
35 to 44 years,Men,2013-10-01,410000,Hariyana
45 to 54 years,Men,2013-10-01,424000,Hariyana
55 to 64 years,Men,2013-10-01,363000,Hariyana
65 years and over,Men,2013-10-01,97000,Hariyana
16 to 19 years,Women,2013-10-01,73000,Hariyana
20 to 24 years,Women,2013-10-01,210000,Hariyana
25 to 34 years,Women,2013-10-01,445000,Hariyana
35 to 44 years,Women,2013-10-01,303000,Hariyana
45 to 54 years,Women,2013-10-01,355000,Hariyana
55 to 64 years,Women,2013-10-01,317000,Hariyana
65 years and over,Women,2013-10-01,186000,Hariyana
16 to 19 years,Men,2013-11-01,144000,Hariyana
20 to 24 years,Men,2013-11-01,289000,Hariyana
25 to 34 years,Men,2013-11-01,549000,Hariyana
35 to 44 years,Men,2013-11-01,411000,Hariyana
45 to 54 years,Men,2013-11-01,399000,Hariyana
55 to 64 years,Men,2013-11-01,339000,Hariyana
65 years and over,Men,2013-11-01,97000,Hariyana
16 to 19 years,Women,2013-11-01,75000,Hariyana
20 to 24 years,Women,2013-11-01,197000,Hariyana
25 to 34 years,Women,2013-11-01,435000,Hariyana
35 to 44 years,Women,2013-11-01,305000,Hariyana
45 to 54 years,Women,2013-11-01,398000,Hariyana
55 to 64 years,Women,2013-11-01,272000,Hariyana
65 years and over,Women,2013-11-01,179000,Hariyana
16 to 19 years,Men,2013-12-01,106000,Hariyana
20 to 24 years,Men,2013-12-01,307000,Hariyana
25 to 34 years,Men,2013-12-01,514000,Hariyana
35 to 44 years,Men,2013-12-01,409000,Hariyana
45 to 54 years,Men,2013-12-01,359000,Hariyana
55 to 64 years,Men,2013-12-01,359000,Maharashtra
65 years and over,Men,2013-12-01,82000,Hariyana
16 to 19 years,Women,2013-12-01,62000,Hariyana
20 to 24 years,Women,2013-12-01,217000,Hariyana
25 to 34 years,Women,2013-12-01,370000,Hariyana
35 to 44 years,Women,2013-12-01,290000,Hariyana
45 to 54 years,Women,2013-12-01,357000,Hariyana
55 to 64 years,Women,2013-12-01,240000,Hariyana
65 years and over,Women,2013-12-01,169000,Hariyana
16 to 19 years,Men,2014-01-01,97000,Hariyana
20 to 24 years,Men,2014-01-01,339000,Hariyana
25 to 34 years,Men,2014-01-01,493000,Hariyana
35 to 44 years,Men,2014-01-01,363000,Hariyana
45 to 54 years,Men,2014-01-01,427000,Hariyana
55 to 64 years,Men,2014-01-01,318000,Hariyana
65 years and over,Men,2014-01-01,93000,Hariyana
16 to 19 years,Women,2014-01-01,88000,Hariyana
20 to 24 years,Women,2014-01-01,222000,Hariyana
25 to 34 years,Women,2014-01-01,292000,Hariyana
35 to 44 years,Women,2014-01-01,304000,Hariyana
45 to 54 years,Women,2014-01-01,346000,Hariyana
55 to 64 years,Women,2014-01-01,231000,Hariyana
65 years and over,Women,2014-01-01,179000,Hariyana
16 to 19 years,Men,2014-02-01,129000,Hariyana
20 to 24 years,Men,2014-02-01,366000,Hariyana
25 to 34 years,Men,2014-02-01,488000,Hariyana
35 to 44 years,Men,2014-02-01,380000,Hariyana
45 to 54 years,Men,2014-02-01,458000,Hariyana
55 to 64 years,Men,2014-02-01,304000,Hariyana
65 years and over,Men,2014-02-01,76000,Hariyana
16 to 19 years,Women,2014-02-01,112000,Hariyana
20 to 24 years,Women,2014-02-01,184000,Hariyana
25 to 34 years,Women,2014-02-01,393000,Hariyana
35 to 44 years,Women,2014-02-01,317000,Hariyana
45 to 54 years,Women,2014-02-01,354000,Hariyana
55 to 64 years,Women,2014-02-01,244000,Hariyana
65 years and over,Women,2014-02-01,173000,Hariyana
16 to 19 years,Men,2014-03-01,136000,Hariyana
20 to 24 years,Men,2014-03-01,378000,Hariyana
25 to 34 years,Men,2014-03-01,418000,Hariyana
35 to 44 years,Men,2014-03-01,351000,Hariyana
45 to 54 years,Men,2014-03-01,401000,Hariyana
55 to 64 years,Men,2014-03-01,347000,Hariyana
65 years and over,Men,2014-03-01,76000,Hariyana
16 to 19 years,Women,2014-03-01,99000,Hariyana
20 to 24 years,Women,2014-03-01,224000,Hariyana
25 to 34 years,Women,2014-03-01,404000,Hariyana
35 to 44 years,Women,2014-03-01,316000,Hariyana
45 to 54 years,Women,2014-03-01,332000,Hariyana
55 to 64 years,Women,2014-03-01,252000,Hariyana
65 years and over,Women,2014-03-01,151000,Hariyana
16 to 19 years,Men,2014-04-01,119000,Hariyana
20 to 24 years,Men,2014-04-01,325000,Hariyana
25 to 34 years,Men,2014-04-01,456000,Hariyana
35 to 44 years,Men,2014-04-01,313000,Hariyana
45 to 54 years,Men,2014-04-01,337000,Hariyana
55 to 64 years,Men,2014-04-01,284000,Hariyana
65 years and over,Men,2014-04-01,105000,Hariyana
16 to 19 years,Women,2014-04-01,88000,Hariyana
20 to 24 years,Women,2014-04-01,165000,Hariyana
25 to 34 years,Women,2014-04-01,357000,Hariyana
35 to 44 years,Women,2014-04-01,273000,Hariyana
45 to 54 years,Women,2014-04-01,333000,Hariyana
55 to 64 years,Women,2014-04-01,264000,Hariyana
65 years and over,Women,2014-04-01,143000,Delhi
16 to 19 years,Men,2014-05-01,84000,Hariyana
20 to 24 years,Men,2014-05-01,302000,Hariyana
25 to 34 years,Men,2014-05-01,496000,Hariyana
35 to 44 years,Men,2014-05-01,311000,Hariyana
45 to 54 years,Men,2014-05-01,329000,Hariyana
55 to 64 years,Men,2014-05-01,253000,Hariyana
65 years and over,Men,2014-05-01,84000,Hariyana
16 to 19 years,Women,2014-05-01,75000,Hariyana
20 to 24 years,Women,2014-05-01,141000,Hariyana
25 to 34 years,Women,2014-05-01,372000,Hariyana
35 to 44 years,Women,2014-05-01,278000,Hariyana
45 to 54 years,Women,2014-05-01,304000,Hariyana
55 to 64 years,Women,2014-05-01,250000,Hariyana
65 years and over,Women,2014-05-01,183000,Hariyana
16 to 19 years,Men,2014-06-01,66000,Hariyana
20 to 24 years,Men,2014-06-01,285000,Hariyana
25 to 34 years,Men,2014-06-01,386000,Hariyana
35 to 44 years,Men,2014-06-01,268000,Hariyana
45 to 54 years,Men,2014-06-01,278000,Hariyana
55 to 64 years,Men,2014-06-01,289000,Hariyana
65 years and over,Men,2014-06-01,114000,Hariyana
16 to 19 years,Women,2014-06-01,81000,Hariyana
20 to 24 years,Women,2014-06-01,130000,Hariyana
25 to 34 years,Women,2014-06-01,339000,Hariyana
35 to 44 years,Women,2014-06-01,250000,Gujrat
45 to 54 years,Women,2014-06-01,239000,Hariyana
55 to 64 years,Women,2014-06-01,203000,Hariyana
65 years and over,Women,2014-06-01,172000,Hariyana
16 to 19 years,Men,2014-07-01,98000,Hariyana
20 to 24 years,Men,2014-07-01,277000,Hariyana
25 to 34 years,Men,2014-07-01,413000,Hariyana
35 to 44 years,Men,2014-07-01,312000,Hariyana
45 to 54 years,Men,2014-07-01,254000,Hariyana
55 to 64 years,Men,2014-07-01,251000,Hariyana
65 years and over,Men,2014-07-01,97000,Hariyana
16 to 19 years,Women,2014-07-01,93000,Hariyana
20 to 24 years,Women,2014-07-01,140000,Hariyana
25 to 34 years,Women,2014-07-01,348000,Hariyana
35 to 44 years,Women,2014-07-01,280000,Hariyana
45 to 54 years,Women,2014-07-01,293000,Hariyana
55 to 64 years,Women,2014-07-01,267000,Hariyana
65 years and over,Women,2014-07-01,213000,Hariyana
16 to 19 years,Men,2014-08-01,105000,Hariyana
20 to 24 years,Men,2014-08-01,254000,Hariyana
25 to 34 years,Men,2014-08-01,342000,Hariyana
35 to 44 years,Men,2014-08-01,288000,Hariyana
45 to 54 years,Men,2014-08-01,265000,Hariyana
55 to 64 years,Men,2014-08-01,215000,Hariyana
65 years and over,Men,2014-08-01,95000,Hariyana
16 to 19 years,Women,2014-08-01,68000,Hariyana
20 to 24 years,Women,2014-08-01,136000,Hariyana
25 to 34 years,Women,2014-08-01,354000,Hariyana
35 to 44 years,Women,2014-08-01,250000,Hariyana
45 to 54 years,Women,2014-08-01,258000,Hariyana
55 to 64 years,Women,2014-08-01,224000,Hariyana
65 years and over,Women,2014-08-01,257000,Hariyana
16 to 19 years,Men,2014-09-01,89000,Hariyana
20 to 24 years,Men,2014-09-01,266000,Hariyana
25 to 34 years,Men,2014-09-01,350000,Hariyana
35 to 44 years,Men,2014-09-01,228000,Hariyana
